id	filename	md5	size	state
0012199b-26d8-4fde-a314-7657b75e437b	0012199b-26d8-4fde-a314-7657b75e437b/3e0e69c1-90b6-40a2-99a9-faf72f72ed13.FPKM.txt.gz	1f83f102316749c97dcd5f87f9a27f62	306544	validated
004d2da5-f216-48fb-bfd1-18436ea6b886	004d2da5-f216-48fb-bfd1-18436ea6b886/f810d5d1-fdaf-4e35-9f41-84a56809d29d.FPKM.txt.gz	d4fb7c54fd36dba4f260ec8a1c447f42	309056	validated
00986ade-4796-4d86-89e8-af474cc9a0d1	00986ade-4796-4d86-89e8-af474cc9a0d1/afe1bf94-861a-471e-a4e6-64c66a113ee1.FPKM.txt.gz	b24d4b7642bd094cb4b7fdd353e661b8	296626	validated
01e679be-9d69-47b3-b01a-91308b8f5d2f	01e679be-9d69-47b3-b01a-91308b8f5d2f/7ebc500a-a0f4-4527-9c54-a591d5db5dc3.FPKM.txt.gz	b98ab1f19d8c3d154e4ec7ea6ab9944a	310411	validated
020dc103-30e4-4fc8-939a-5b216b732a62	020dc103-30e4-4fc8-939a-5b216b732a62/76f198e4-669b-4b07-b863-7e20dd1329c9.FPKM.txt.gz	059ef96d727204574fed3008123d7aa3	306982	validated
02995f55-9647-4a88-b312-ae67da5df9cc	02995f55-9647-4a88-b312-ae67da5df9cc/f54d5801-6bbf-4bd4-859a-be2b61f2be8f.FPKM.txt.gz	4724c952604b07dd87fb0908b97ddecd	306937	validated
029e82da-ef7c-4ca8-b20c-fbb85bcb272d	029e82da-ef7c-4ca8-b20c-fbb85bcb272d/e41282a2-beeb-48f2-8768-57d9ce2717b5.FPKM.txt.gz	bca59edce437dadd68c20f97fc638458	291919	validated
02d00e53-e6db-4545-b9c2-283feb9d4545	02d00e53-e6db-4545-b9c2-283feb9d4545/d350f82a-d5b3-4728-80e6-0dd673194a4b.FPKM.txt.gz	8a3789222826010bf546be264b295cc6	308417	validated
031f1796-b01b-419d-919e-0a5e4d9a057a	031f1796-b01b-419d-919e-0a5e4d9a057a/4b445121-4452-4735-9862-7e511506143e.FPKM.txt.gz	0f4c95f0e3d51c6bb09197d6f0d10137	304048	validated
0388ca3b-83cf-4bf7-8295-280356f50988	0388ca3b-83cf-4bf7-8295-280356f50988/c53506b6-ecfb-4610-b115-7348b911438b.FPKM.txt.gz	b37007c1a24c3a94bdb318e0af070723	305842	validated
04196531-e79a-41a6-baf2-e483c727f099	04196531-e79a-41a6-baf2-e483c727f099/b0c8aac9-16e3-4502-9d13-60d7396d548b.FPKM.txt.gz	7671ace554f459dc84580d5e5b7acbcb	289489	validated
046f82e4-c1e8-49e8-8b81-a808973bffa4	046f82e4-c1e8-49e8-8b81-a808973bffa4/3401fc1e-07d4-40ec-a89f-1628cf95dcd8.FPKM.txt.gz	8b13821fde32b2b6200ed2d0e2093b91	305987	validated
04babc70-ad4b-4a20-b456-a62ba6670c19	04babc70-ad4b-4a20-b456-a62ba6670c19/1a17804a-f368-4183-ad4f-d1e52a7dfd36.FPKM.txt.gz	c06a6cfcb93ae0c622bf41316cf1ebe6	308531	validated
05398f9c-f06f-4d90-8eae-63e6edce7c1e	05398f9c-f06f-4d90-8eae-63e6edce7c1e/319b4b48-a924-4019-b5e8-3fad31c33d67.FPKM.txt.gz	bb323d308a5906c02adf151b7ed4a02e	286172	validated
05b83d11-eed0-439b-9ebf-b1c2c76183aa	05b83d11-eed0-439b-9ebf-b1c2c76183aa/d217f918-c0f6-4f4a-9ba0-88dbdc85487a.FPKM.txt.gz	14de2350a70236a0ee2ac19640d16041	303591	validated
05eaa6b6-cc5e-44e7-a64a-8e777b46c0ad	05eaa6b6-cc5e-44e7-a64a-8e777b46c0ad/d253abd4-e807-4a63-b83e-ad7b7659e641.FPKM.txt.gz	1f6b0e6fbbf3d338f0f67e7a273433cf	308338	validated
060f8dc9-3352-4eec-a9a2-31d1965b6752	060f8dc9-3352-4eec-a9a2-31d1965b6752/359a17f3-f1d9-4679-ab4e-6ebf2ce5eb1a.FPKM.txt.gz	99d9cb3b4fbe5e56225dcce4c0e98ed9	300809	validated
